id_subida;genero;cue;horas;instpadre;instmadre;paisorigen;paisprocedencia;fechaingresopais;paistituloanterior;idinstitucion;idtitulo;anioingreso;formaingreso;fechaegreso;idinstitucioningreso;idinstitucionegreso;codigoprocedencia;anioinformado;tienecud;id_persona
67460;2;888888888;NDI;10;10;51;99999;99999999.0;99999;114;92;1900;1;;114;;4;2023;N;ID_FNQAFTNL
67460;2;999999999;NDI;10;10;54;99999;99999999.0;99999;114;92;1993;1;;114;;3;2023;N;ID_ZMZRALQN
67460;2;999999999;NDI;10;10;54;99999;99999999.0;99999;114;92;2012;1;;114;;3;2023;N;ID_APPARQML
67460;1;999999999;NDI;10;10;54;99999;99999999.0;99999;114;92;2010;1;;114;;3;2023;N;ID_ALLRRPLP
67460;1;999999999;NDI;10;10;54;99999;99999999.0;99999;114;92;2012;1;;114;;3;2023;N;ID_ATRMLRQZ
67460;1;999999999;NDI;10;10;54;99999;99999999.0;99999;114;92;2014;1;;114;;3;2023;N;ID_ARMALZMZ
67460;1;999999999;NDI;10;10;54;99999;99999999.0;99999;114;92;2013;1;;114;;3;2023;N;ID_ARRNFFAA
67460;1;999999999;NDI;10;10;54;99999;99999999.0;99999;114;92;2015;1;;114;;3;2023;N;ID_MQFMQFZP
67460;1;999999999;NDI;10;10;54;99999;99999999.0;99999;114;92;2019;1;;114;;3;2023;N;ID_MQPFFQMF
67460;1;999999999;NDI;10;10;54;99999;99999999.0;99999;114;92;2018;1;;114;;3;2023;N;ID_MZFMRZRF
67460;1;999999999;NDI;10;10;54;99999;99999999.0;99999;114;92;2020;1;;114;;3;2023;N;ID_MZFNNTRM
67460;1;999999999;NDI;10;10;54;99999;99999999.0;99999;114;92;2020;1;;114;;3;2023;N;ID_MARTMQAN
67460;2;999999999;NDI;10;10;54;99999;99999999.0;99999;114;112;2020;1;;114;;3;2023;N;ID_AATRTAPL
67460;2;999999999;NDI;10;10;54;99999;99999999.0;99999;114;113;2013;1;;114;;3;2023;N;ID_ATTPZQNL
67460;2;999999999;NDI;10;10;54;99999;99999999.0;99999;114;5561;2013;1;;114;;3;2023;N;ID_ARARZAPF
67460;2;999999999;NDI;10;10;54;99999;99999999.0;99999;114;5561;2013;1;22/9/2023;114;114.0;3;2023;N;ID_ARPZNQRT
67460;1;999999999;NDI;10;10;54;99999;99999999.0;99999;114;5561;2016;1;;114;;3;2023;N;ID_ARLTQRMN
67460;2;999999999;NDI;10;10;54;99999;99999999.0;99999;114;5561;2014;1;;114;;3;2023;N;ID_ANAZZQMT
67460;1;999999999;NDI;10;10;54;99999;99999999.0;99999;114;5561;2017;1;;114;;3;2023;N;ID_MQRLALFR
