"idinstitucion","cuit","nombre","nombre_corto","tipo","jurisdiccion","sigla","idpadreinstitucion","casillacorreo","clasificacion","regimen","observaciones","esuniversidad","modiuniversidad","email","web","cue","facebook","twitter","vigencia_hasta","solo_guia","nivelcpres","en_cpres","idnivel","en_sicer","prefijo","telefono1","telefono2"
3396,NULL,"Facultad de Derecho - sede Escobar",NULL,"UA","N","",45,"",NULL,"PU",NULL,0,0,"","","070602812","","",2000,0,1,True,4,True,NULL,NULL,NULL
2197,"","Anexo Metán- Inst. de Educ. Abierta y a Distancia","","UA","N","",70,"","","PR","Carreras a Distancia",0,0,"informes@ucasal.net","http://www.ucasal.net","076606924","","",2012,0,1,True,2,True,NULL,NULL,NULL
2897,"","Facultad de Ingeniería y Administración","","UA","N","",54,"","","PU","",0,0,"","","077403915","","",2013,0,1,True,2,True,NULL,NULL,NULL
2726,"","Facultad de Derecho y Ciencias Sociales","","UA","N","",65,"","","PR","",0,0,"admision@uade.edu.ar","www.uade.edu.ar","070206410","","",1996,0,1,True,2,True,NULL,NULL,NULL
3752,NULL,"Sede Central",NULL,"UA","N","",84,"",NULL,"PU",NULL,0,0,"","",NULL,"","",2018,0,1,False,1,True,NULL,NULL,NULL
2907,NULL,"Facultad de Ingeniería y Ciencias Exactas y Naturales - Escuela de Formación Técnica Profesional",NULL,"UA","N","FICEN-EFTP",102,"",NULL,"PR",NULL,0,0,"sec_acad_ing@favaloro.edu.ar","www.favaloro.edu.ar","070212604","","",2014,0,1,True,2,True,NULL,NULL,NULL
2199,"","Facultad de Ciencias Jurídicas, Sociales y de la Comunicación","","UA","N","",65,"","","PR","",0,0,"admision@uade.edu.ar","www.uade.edu.ar","070206413","","",2007,0,1,True,2,True,NULL,NULL,NULL
4102,NULL,"Instituto de Innovación Educativa",NULL,"UA","N",NULL,2417,NULL,NULL,"PR",NULL,0,0,NULL,NULL,NULL,NULL,NULL,9999,0,1,False,2,True,NULL,NULL,NULL
117,"","Facultad de Arquitectura Diseño y Urbanismo","","UA","N","FADU",33,"","","PU","",0,0,"doeinfo@rec.uba.ar","www.fadu.uba.ar","070200903","","",9999,0,1,True,2,True,"011","45083619",NULL
131,"","Facultad de Ciencias Económicas y de Administración","","UA","N","FCyA",34,"","","PU","",0,0,"infofceya@eco.unca.edu.ar","http://www.unca.edu.ar/","071001203","https://es-la.facebook.com/FCEyA/","https://twitter.com/fce_unca/status/1411431162006933512",9999,0,1,True,2,True,"0383","4424099 int 157",""
3398,NULL,"Facultad de Derecho - sede Chivilcoy",NULL,"UA","N","",45,"",NULL,"PU",NULL,0,0,"","","070602810","","",2000,0,1,True,4,True,NULL,NULL,NULL
129,"","Facultad de Tecnología y Ciencias Aplicadas","","UA","N","",34,"","","PU","",0,0,"daa@tecno.unca.edu.ar","http://tecno.unca.edu.ar","071001202","@FTyCA","",9999,0,1,True,2,True,"0383","4435112 Int. 103",""
421,"","Facultad de Agronomía y Zootecnia","","UA","N","",58,"","","PU","",0,0,"info@unt.edu.ar","www.faz.unt.edu.ar","079004301","","",2021,0,1,True,2,True,NULL,NULL,NULL
2358,"","Facultad de Comunicación y Diseño","","UA","N","FACO",65,"","","PR","",0,0,"admision@uade.edu.ar","www.uade.edu.ar","070206402","","",2015,0,1,True,2,True,NULL,NULL,NULL
4105,NULL,"Extensión Áulica Sarmiento",NULL,"UA","P","",3575,"",NULL,"PU",NULL,0,0,"bedelia.sarmiento@udc.edu.ar","http://www.udc.edu.ar/",NULL,"https://es-la.facebook.com/Universidad.del.Chubut/","https://twitter.com/UniDChubut",9999,0,1,False,4,True,"280","4481129",""
3579,NULL,"DEPARTAMENTO DE MATEMATICA Y CIENCIA",NULL,"UA","N","",97,"",NULL,"PR",NULL,0,0,"institucionales@udesa.edu.ar","www.udesa.edu.ar","070608608","","",9999,0,1,False,2,True,"011","70780400 int. 4573",""
525,"","Facultad de Economía y Administración","","UA","N","UCSALTA",70,"18","","PR","",0,0,"economiayadministracion@ucasal.edu.ar","http://www.ucasal.net","076606902","","",9999,0,1,True,2,True,"0387","4268800",""
3984,NULL,"Rectorado",NULL,"UA","N","",3981,"",NULL,"PR",NULL,0,0,"estadistica@iugr.edu.ar","http://www.iugr.edu.ar/","070615006","","",9999,0,2,False,1,True,"0341","4838100",""
3235,NULL,"Escuela Secundaria Técnica",NULL,"PRE","N","CP",39,"3200",NULL,"PU",NULL,0,0,"direccionescuela@fcal.uner.edu.ar","https://www.fcal.uner.edu.ar/escuela-secundaria/","073001600","https://www.facebook.com/fcal.uner","",9999,0,1,True,3,True,"0345","4231440",""
396,"","Facultad Regional Córdoba","","UA","N","FRC",57,"","","PU","",0,0,"decano@decanato.frc.utn.edu.ar","www.frc.utn.edu.ar","071405505","","",9999,0,1,True,2,True,"0351","5986000",""
4019,NULL,"Dirección General del Sistema Institucional de Educación Digital",NULL,"UA","N","",108,"",NULL,"PR",NULL,0,0,"dgead@educacionucp.edu.ar","https://www.educacionucp.edu.ar/","071809318","","",9999,0,1,False,3,True,"379","4220333",""
2814,"","Facultad de Ciencias Económicas, Jurídicas y Sociales","","UA","N","F.C.E.J.S.",54,"","","PU","",0,0,"alufcejs@unsl.edu.ar","https://carreras.unsl.edu.ar/facultades/fcejs/1","077403912","","",9999,0,1,True,2,True,"2657","531000",""
3608,NULL,"Rectorado",NULL,"UA","N","",2997,"",NULL,"PU",NULL,0,0,"rectorado@unahur.edu.ar","www.unahur.edu.ar","070611900","","",9999,0,2,True,1,True,"011","20785200","20785200"
3170,NULL,"Académica Sede Alto Valle - Valle Medio","","UA","N","Sede AV-VM",2459,"",NULL,"PU",NULL,0,0,"daa.avvm@unrn.edu.ar","www.unrn.edu.ar","076203509","","",9999,0,1,True,2,True,"0298","4427399",""
2555,"","Facultad de Ciencias de la Educación","","UA","N","",101,"","","PR","",0,0,"secretaria.educacion@ufasta.edu.ar","http://www.ufasta.edu.ar/","070608911","","",9999,0,1,True,2,True,"0223","4990400","4995200"
3222,NULL,"Instituto Técnico - Diurno",NULL,"PRE","N","",58,"",NULL,"PU",NULL,0,0,"it.mesa-entradas@webmail.unt.edu.ar","https://it.unt.edu.ar/","079004333","","",9999,0,1,True,2,True,"0381","4107227",""
4043,NULL,"Polo Educativo Puerto General San Martín",NULL,"PRE","N","",51,"",NULL,"PU",NULL,0,0,"poloeducativo@mpgsm.gob.ar","https://www.mpgsm.gob.ar/poloeducativo/","078203624","","",9999,0,1,False,2,True,"03476","422420",""
290,"","Facultad de Ciencias Sociales","","UA","N","FCS UNLZ",45,"","","PU","",0,0,"sociales@unlz.edu.ar","http://www.sociales.unlz.edu.ar","070602804","http://www.fcebook.com/socialesunlz","https://twitter.com/socialesunlz",9999,0,1,True,2,True,"011","70921040",""
2865,"","Facultad de Ciencias Humanas y Sociales","","UA","N","-",2851,"info","","PR","",0,0,"info@usi.edu.ar","www.usi.edu.ar","070611205","","",9999,0,1,True,2,True,"011","35173687",""
3441,NULL,"UCES Vicente López",NULL,"UA","N","",95,"",NULL,"PR",NULL,0,0,"vicentelopez@uces.edu.ar","www.uces.edu.ar","070608425","","",9999,0,1,True,2,True,"011","48149200",""
4033,NULL,"Escuela Superior de Salud",NULL,"UA","N","",40,"",NULL,"PU",NULL,0,0,"escuelasuperior@cjyp.unju.edu.ar","www.escuelasalud.unju.edu.ar","073802015","","",9999,0,1,False,2,True,"0388","4244107 Int 1060","4244107 Int 1060"
2851,"","Universidad de San Isidro ""Dr. Plácido Marín""","San Isidro","U","N","USI",0,"info","","PR","",0,0,"otero.marina@usi.edu.ar","www.usi.com.ar",NULL,"","",9999,0,1,True,1,True,"011","35173687",""
1792,"","Facultad de Derecho","","UA","N","FD",94,"","","PR","",0,0,"informes@uch.edu.ar","https://www.uch.edu.ar","075008304","","",9999,0,1,True,2,True,"0261","4248443",""
4037,NULL,"Escuela de Arte y Patrimonio",NULL,"UA","N","",88,"",NULL,"PU",NULL,0,0,"privada.eayp@unsam.edu.ar","https://www.unsam.edu.ar/escuelas/arte/","070601847","","",9999,0,1,False,2,True,"011","40061500",""
