"idtitulo","nombre","idtipotitulo","idarea","idcarrera","tipotitulofijo","idtitulopresencial","fecha","esuniversidad","modiuniversidad","idterminal","idsubterminal","id_orientaciondiniece","anio_art_43","resolucion_art_43","en_sicer"
12717,"Doctor en Alimentos - Orientación Ciencia","D","TEAL",145,"S",0,"2015-04-13",0,0,1,1,0,0,"No Corresponde",True
12719,"Magister en Educación Física y Deporte - MD","M","EFIS",49,"S",1,"2015-04-13",0,0,1,1,0,0,"No Corresponde",True
12721,"Profesor en Educación Secundaria en Ciencias de la Administración","G","FODO",162,"S",0,"2015-04-15",0,0,1,1,0,0,"No Corresponde",True
12724,"Licenciado en Arte - Ciclo de Licenciatura","CL","ARPL",19,"S",0,"2015-04-16",0,0,1,1,0,0,"No Corresponde",True
12725,"Doctor en Ingeniería Biomédica","D","INQU",95,"S",0,"2015-04-16",0,0,1,1,0,0,"No Corresponde",True
12726,"Especialista en Bienestar Animal","E","VETE",153,"S",0,"2015-04-17",0,0,1,1,0,0,"No Corresponde",True
12737,"Magíster de la Universidad de Buenos Aires en Gobierno","M","CSPO",28,"S",0,"2015-04-17",0,0,1,1,0,0,"No Corresponde",True
12738,"Especialista en Técnicas Actuariales de la Seguridad Social","E","SEG",5,"S",0,"2015-04-17",0,0,1,1,0,0,"No Corresponde",True
8987,"Técnico Universitario en Emprendimientos Turísticos","TI","TURI",152,"N",0,"2011-05-05",0,0,1,1,0,0,"No Corresponde",True
12740,"Especialista en Política y Gestión de la Escuela Secundaria","E","ADDI",68,"S",0,"2015-04-30",0,0,1,1,0,0,"No Corresponde",True
18036,"Ingeniero/a en Biotecnología","G","TECN",147,"S",0,"2025-04-14",0,0,2,5,0,0,"No Corresponde",True
12745,"Licenciado en Comunicación Social, Orientación Periodismo","G","COSO",35,"S",0,"2015-05-05",0,0,1,1,0,0,"No Corresponde",True
12752,"Técnico Universitario en Organización de Empresas Agropecuarias","P","ADDI",6,"S",0,"2015-05-06",0,0,1,1,0,0,"No Corresponde",True
12755,"Licenciado en Ciencias de la Educación en el área Técnico-educativa","E","CSED",29,"S",0,"2015-05-06",0,0,1,1,0,0,"No Corresponde",True
12756,"Profesor Superior en Dirección Coral","G","MUSI",114,"S",0,"2015-05-06",0,0,1,1,0,0,"No Corresponde",True
48,"Profesor en Química para el Nivel Medio y Terciario","G","QUIM",1,"S",0,"2010-12-31",0,0,1,1,0,0,"No Corresponde",True
12753,"Técnico en Investigación de la Escena del Crimen - MD","P","CRIM",39,"S",1,"2015-05-06",0,0,1,1,0,0,"No Corresponde",True
12757,"Especialista en Administración Financiera y Control de las Organizaciones Públicas","E","ADDI",68,"S",0,"2015-05-11",0,0,1,1,0,0,"No Corresponde",True
7848,"Técnico Universitario en Ciencias Empresariales - MD","TI","ECON",59,"N",1,"2010-12-31",0,0,1,1,0,0,"No Corresponde",True
12760,"Especialista en Intervención Comunitaria en el Ámbito de la Salud Mental","E","SAPU",156,"S",0,"2015-05-18",0,0,1,1,0,0,"No Corresponde",True
12762,"Magíster en Gestión Sanitaria Forestal","M","INAM",74,"S",0,"2015-05-18",0,0,1,1,0,0,"No Corresponde",True
12763,"Técnico Universitario en Gestión de Entidades del Deporte","P","ADDI",68,"S",0,"2015-05-18",0,0,1,1,0,0,"No Corresponde",True
12764,"Técnico Universitario en Gestión de la Seguridad Ciudadana","TINT","CRIM",39,"S",0,"2015-05-18",0,0,1,1,0,0,"No Corresponde",True
12766,"Profesor Superior de Guitarra","G","FODO",161,"S",0,"2015-05-20",0,0,1,1,0,0,"No Corresponde",True
12773,"Magíster en Arquitectura y Hábitat Sustentable","M","ARQU",17,"S",0,"2015-05-20",0,0,1,1,0,0,"No Corresponde",True
12774,"Especialista en Calidad y Auditoría de la Atención de la Salud","E","ADDI",7,"S",0,"2015-05-20",0,0,1,1,0,0,"No Corresponde",True
12776,"Técnico Universitario en Formulación de Proyectos Sociales","TINT","CSOC",151,"S",0,"2015-05-22",0,0,1,1,0,0,"No Corresponde",True
12778,"Especialista en Género y Comunicación","E","COSO",35,"S",0,"2015-05-22",0,0,1,1,0,0,"No Corresponde",True
12782,"Licenciado en Bellas Artes - Profesor","CP","ARPL",19,"S",0,"2015-05-26",0,0,1,1,0,0,"No Corresponde",True
12784,"Licenciado en Tecnologías Digitales para la Educación - Ciclo de Complementación Curricular - MD","CCC","FODO",161,"S",1,"2015-05-27",0,0,1,1,0,0,"No Corresponde",True
12785,"Doctor en Humanidades (Área Filosofía)","D","FILO",58,"S",0,"2015-05-27",0,0,1,1,0,0,"No Corresponde",True
12786,"Técnico en Órtesis y Prótesis","TINT","KINE",102,"S",0,"2015-05-28",0,0,1,1,0,0,"No Corresponde",True
12787,"Técnico Universitario en Diseño Gráfico y Comunicación Visual","TINT","DISE",42,"S",0,"2015-05-28",0,0,1,1,0,0,"No Corresponde",True
12788,"Técnico Universitario en Audiovisión","TINT","ARAU",18,"S",0,"2015-05-29",0,0,1,1,0,0,"No Corresponde",True
5760,"Licenciado en Educación General Básica, Primer Ciclo y Segundo Ciclo","G","EPRI",1,"S",0,"2010-12-31",0,0,1,1,0,0,"No Corresponde",True
12789,"Magíster en Farmacopolíticas","M","FARM",57,"S",0,"2015-05-29",0,0,1,1,0,0,"No Corresponde",True
12791,"Licenciado en Seguridad Ciudadana - Modalidad a distancia - Ciclo de Complementación Curricular","CCC","CRIM",39,"S",1,"2015-06-03",0,0,1,1,0,0,"No Corresponde",True
8145,"Licenciado en Periodismo - MD","G","COSO",123,"N",1,"2010-12-31",0,0,1,1,0,0,"No Corresponde",True
12781,"Especialista en Derecho Aeronáutico, Espacial y Aeroportuario","E","DERE",40,"S",0,"2015-05-22",0,0,1,1,0,0,"No Corresponde",True
1559,"Magíster en Educación","M","CSED",29,"S",0,"2010-12-31",0,0,1,1,0,0,"No Corresponde",True
